Datetime,Symbol,Contract_month,Open,High,Low,Close,Volume
2010-01-03T16:00:00.000000Z,NQ,2010-03,1865.5,1872.0,1865.5,1869.75,2489.0
2010-01-03T20:00:00.000000Z,NQ,2010-03,1869.75,1870.5,1867.0,1869.25,1560.0
2010-01-04T00:00:00.000000Z,NQ,2010-03,1869.25,1878.75,1867.5,1877.75,6907.0
2010-01-04T04:00:00.000000Z,NQ,2010-03,1877.75,1881.75,1876.25,1878.25,8073.0
2010-01-04T08:00:00.000000Z,NQ,2010-03,1878.25,1889.0,1876.0,1887.0,111352.0
2010-01-04T12:00:00.000000Z,NQ,2010-03,1887.25,1888.5,1882.0,1886.0,63203.0
2010-01-04T16:00:00.000000Z,NQ,2010-03,1886.0,1887.75,1884.0,1887.0,13176.0
2010-01-04T20:00:00.000000Z,NQ,2010-03,1886.75,1887.5,1885.25,1885.5,1960.0
2010-01-05T00:00:00.000000Z,NQ,2010-03,1885.25,1887.25,1880.75,1882.75,4026.0
2010-01-05T04:00:00.000000Z,NQ,2010-03,1882.75,1888.5,1881.5,1887.75,5339.0
2010-01-05T08:00:00.000000Z,NQ,2010-03,1888.0,1890.25,1878.25,1884.5,98348.0
2010-01-05T12:00:00.000000Z,NQ,2010-03,1884.5,1887.0,1874.5,1886.25,86267.0
2010-01-05T16:00:00.000000Z,NQ,2010-03,1886.25,1888.5,1883.0,1884.25,11976.0
2010-01-05T20:00:00.000000Z,NQ,2010-03,1884.25,1884.5,1879.75,1882.25,1069.0
2010-01-06T00:00:00.000000Z,NQ,2010-03,1882.5,1883.25,1880.0,1881.5,2358.0
2010-01-06T04:00:00.000000Z,NQ,2010-03,1881.75,1885.25,1878.25,1881.75,5763.0
2010-01-06T08:00:00.000000Z,NQ,2010-03,1881.75,1891.75,1880.25,1881.25,101005.0
2010-01-06T12:00:00.000000Z,NQ,2010-03,1881.25,1885.5,1872.25,1876.75,137868.0
2010-01-06T16:00:00.000000Z,NQ,2010-03,1876.75,1880.5,1875.25,1879.25,13294.0
2010-01-06T20:00:00.000000Z,NQ,2010-03,1879.5,1879.75,1875.5,1876.75,1171.0
2010-01-07T00:00:00.000000Z,NQ,2010-03,1876.75,1876.75,1871.0,1872.0,4291.0
2010-01-07T04:00:00.000000Z,NQ,2010-03,1871.75,1875.75,1870.25,1872.0,7930.0
2010-01-07T08:00:00.000000Z,NQ,2010-03,1872.0,1880.0,1865.25,1870.25,118942.0
2010-01-07T12:00:00.000000Z,NQ,2010-03,1870.25,1876.5,1866.75,1873.25,96524.0
2010-01-07T16:00:00.000000Z,NQ,2010-03,1876.5,1878.25,1874.0,1878.0,12445.0
2010-01-07T20:00:00.000000Z,NQ,2010-03,1878.25,1879.5,1875.5,1878.5,1627.0
2010-01-08T00:00:00.000000Z,NQ,2010-03,1878.25,1881.0,1877.5,1878.25,3607.0
2010-01-08T04:00:00.000000Z,NQ,2010-03,1878.25,1880.0,1875.5,1878.5,4657.0
2010-01-08T08:00:00.000000Z,NQ,2010-03,1878.25,1886.5,1864.75,1885.25,153181.0
2010-01-08T12:00:00.000000Z,NQ,2010-03,1885.0,1891.5,1883.0,1888.25,86366.0
2010-01-08T16:00:00.000000Z,NQ,2010-03,1891.0,1892.5,1888.0,1890.0,17894.0
2010-01-10T16:00:00.000000Z,NQ,2010-03,1892.25,1898.75,1889.5,1897.75,2045.0
