Datetime,Symbol,Contract_month,Open,High,Low,Close,Volume
2010-01-03T00:00:00.000000Z,NQ,2010-03,1865.5,1872.0,1865.5,1869.25,4049.0
2010-01-04T00:00:00.000000Z,NQ,2010-03,1869.25,1889.0,1867.5,1885.5,204671.0
2010-01-05T00:00:00.000000Z,NQ,2010-03,1885.25,1890.25,1874.5,1882.25,207025.0
2010-01-06T00:00:00.000000Z,NQ,2010-03,1882.5,1891.75,1872.25,1876.75,261459.0
2010-01-07T00:00:00.000000Z,NQ,2010-03,1876.75,1880.0,1865.25,1878.5,241759.0
2010-01-08T00:00:00.000000Z,NQ,2010-03,1878.25,1892.5,1864.75,1890.0,265705.0
2010-01-10T00:00:00.000000Z,NQ,2010-03,1892.25,1900.0,1889.5,1899.25,3055.0
2010-01-11T00:00:00.000000Z,NQ,2010-03,1899.0,1899.75,1872.25,1879.0,244399.0
2010-01-12T00:00:00.000000Z,NQ,2010-03,1879.25,1883.75,1849.5,1866.25,331797.0
2010-01-13T00:00:00.000000Z,NQ,2010-03,1866.25,1889.5,1852.0,1886.25,311566.0
2010-01-14T00:00:00.000000Z,NQ,2010-03,1886.25,1894.0,1875.0,1882.0,207706.0
2010-01-15T00:00:00.000000Z,NQ,2010-03,1882.0,1891.25,1854.25,1863.25,339281.0
2010-01-17T00:00:00.000000Z,NQ,2010-03,1861.75,1864.75,1858.5,1863.5,2772.0
2010-01-18T00:00:00.000000Z,NQ,2010-03,1863.5,1875.0,1862.0,1871.25,19086.0
2010-01-19T00:00:00.000000Z,NQ,2010-03,1871.25,1895.75,1857.5,1886.75,315000.0
2010-01-20T00:00:00.000000Z,NQ,2010-03,1886.75,1887.25,1843.25,1871.5,402814.0
2010-01-21T00:00:00.000000Z,NQ,2010-03,1873.25,1883.5,1830.0,1842.0,501490.0
2010-01-22T00:00:00.000000Z,NQ,2010-03,1842.0,1849.25,1787.75,1797.0,523088.0
2010-01-24T00:00:00.000000Z,NQ,2010-03,1794.75,1805.75,1794.75,1804.0,5181.0
2010-01-25T00:00:00.000000Z,NQ,2010-03,1804.0,1814.75,1781.75,1787.25,368126.0
2010-01-26T00:00:00.000000Z,NQ,2010-03,1787.0,1823.75,1783.5,1800.5,386268.0
2010-01-27T00:00:00.000000Z,NQ,2010-03,1800.0,1821.5,1787.25,1820.0,444828.0
2010-01-28T00:00:00.000000Z,NQ,2010-03,1819.75,1819.75,1756.5,1766.25,572455.0
2010-01-29T00:00:00.000000Z,NQ,2010-03,1766.25,1789.25,1729.25,1735.25,526896.0
2010-01-31T00:00:00.000000Z,NQ,2010-03,1740.0,1747.5,1736.5,1744.25,5868.0
2010-02-01T00:00:00.000000Z,NQ,2010-03,1744.5,1759.0,1739.5,1754.0,341378.0
2010-02-02T00:00:00.000000Z,NQ,2010-03,1754.25,1778.0,1746.5,1769.0,330945.0
2010-02-03T00:00:00.000000Z,NQ,2010-03,1769.0,1792.0,1763.5,1786.75,319168.0
2010-02-04T00:00:00.000000Z,NQ,2010-03,1786.75,1787.5,1729.5,1737.5,479453.0
2010-02-05T00:00:00.000000Z,NQ,2010-03,1737.5,1747.75,1710.0,1744.5,554195.0
2010-02-07T00:00:00.000000Z,NQ,2010-03,1747.25,1749.75,1739.25,1745.5,2833.0
2010-02-08T00:00:00.000000Z,NQ,2010-03,1745.5,1753.75,1728.75,1737.75,294931.0
2010-02-09T00:00:00.000000Z,NQ,2010-03,1737.75,1767.25,1735.5,1749.0,381200.0
2010-02-10T00:00:00.000000Z,NQ,2010-03,1749.0,1762.75,1735.5,1753.5,296154.0
2010-02-11T00:00:00.000000Z,NQ,2010-03,1753.75,1778.75,1734.25,1772.0,339224.0
2010-02-12T00:00:00.000000Z,NQ,2010-03,1772.25,1783.5,1753.0,1783.25,325917.0
2010-02-14T00:00:00.000000Z,NQ,2010-03,1781.5,1781.5,1777.25,1778.0,1070.0
2010-02-15T00:00:00.000000Z,NQ,2010-03,1778.25,1784.5,1775.25,1782.5,12033.0
2010-02-16T00:00:00.000000Z,NQ,2010-03,1782.5,1803.0,1779.75,1802.5,247389.0
