Entry_Time,Exit_Time,Side,Entry,Exit,Tp,Sl,PnL,Contract
2010-01-27 10:00:00+00:00,2010-01-27 10:00:00+00:00,short,1805.5,1794.4277549659269,1794.4277549659269,1822.1083675511097,11.072245034073148,2010-03
2010-01-28 20:00:00+00:00,2010-01-29 08:00:00+00:00,short,1765.0,1788.7711885466506,1749.1525409688995,1788.7711885466506,-23.771188546650592,2010-03
2010-02-01 03:00:00+00:00,2010-02-02 10:00:00+00:00,short,1745.5,1764.3321655920415,1732.945222938639,1764.3321655920415,-18.83216559204152,2010-03
2010-02-04 11:00:00+00:00,2010-02-04 12:00:00+00:00,short,1747.75,1737.8635555553628,1737.8635555553628,1762.5796666669557,9.886444444637164,2010-03
2010-02-05 04:00:00+00:00,2010-02-05 05:00:00+00:00,short,1737.25,1728.1695271554415,1728.1695271554415,1750.8707092668378,9.080472844558471,2010-03
2010-02-05 11:00:00+00:00,2010-02-05 11:00:00+00:00,short,1736.5,1723.271434594688,1723.271434594688,1756.342848107968,13.22856540531211,2010-03
2010-02-05 15:00:00+00:00,2010-02-05 15:00:00+00:00,short,1723.0,1745.4344196009197,1708.0437202660535,1745.4344196009197,-22.434419600919682,2010-03
2010-02-09 00:00:00+00:00,2010-02-09 09:00:00+00:00,short,1737.75,1753.3632642669136,1727.3411571553909,1753.3632642669136,-15.613264266913575,2010-03
2010-02-10 05:00:00+00:00,2010-02-10 10:00:00+00:00,short,1755.0,1745.4846094284649,1745.4846094284649,1769.2730858573027,9.515390571535136,2010-03
2010-02-10 18:00:00+00:00,2010-02-11 11:00:00+00:00,short,1745.5,1762.8244134774654,1733.9503910150231,1762.8244134774654,-17.32441347746544,2010-03
2010-02-12 12:00:00+00:00,2010-02-12 16:00:00+00:00,short,1767.0,1782.6048412808523,1756.5967724794318,1782.6048412808523,-15.60484128085227,2010-03
2010-02-16 19:00:00+00:00,2010-02-17 16:00:00+00:00,long,1802.25,1811.027289217548,1811.027289217548,1789.084066173678,8.77728921754806,2010-03
2010-02-18 00:00:00+00:00,2010-02-18 10:00:00+00:00,long,1809.5,1816.6168461254654,1816.6168461254654,1798.824730811802,7.116846125465372,2010-03
2010-02-19 14:00:00+00:00,2010-02-22 10:00:00+00:00,long,1824.5,1810.6719555880409,1833.7186962746393,1810.6719555880409,-13.828044411959127,2010-03
2010-02-23 05:00:00+00:00,2010-02-23 05:00:00+00:00,long,1824.75,1813.7464285874025,1832.085714275065,1813.7464285874025,-11.003571412597466,2010-03
2010-02-24 20:00:00+00:00,2010-02-25 08:00:00+00:00,long,1811.75,1796.6856565173564,1821.792895655096,1796.6856565173564,-15.064343482643608,2010-03
2010-02-26 06:00:00+00:00,2010-02-26 09:00:00+00:00,long,1817.0,1803.664506704657,1825.890328863562,1803.664506704657,-13.335493295342985,2010-03
2010-03-01 01:00:00+00:00,2010-03-01 10:00:00+00:00,long,1828.5,1837.7353388003194,1837.7353388003194,1814.646991799521,9.235338800319369,2010-06
2010-03-01 20:00:00+00:00,2010-03-02 00:00:00+00:00,long,1844.25,1853.376620350057,1853.376620350057,1830.5600694749146,9.12662035005701,2010-06
2010-03-02 07:00:00+00:00,2010-03-02 13:00:00+00:00,long,1851.25,1859.4339183642041,1859.4339183642041,1838.974122453694,8.183918364204146,2010-06
2010-03-02 20:00:00+00:00,2010-03-03 10:00:00+00:00,long,1851.75,1860.9948949288173,1860.9948949288173,1837.882657606774,9.244894928817303,2010-06
2010-03-04 11:00:00+00:00,2010-03-04 15:00:00+00:00,long,1850.5,1859.8681626598193,1859.8681626598193,1836.4477560102712,9.36816265981929,2010-06
2010-03-05 02:00:00+00:00,2010-03-05 08:00:00+00:00,long,1861.25,1868.6992650409957,1868.6992650409957,1850.0761024385063,7.4492650409956696,2010-06
2010-03-07 21:00:00+00:00,2010-03-09 10:00:00+00:00,long,1887.0,1895.9461081122595,1895.9461081122595,1873.5808378316108,8.94610811225948,2010-06
2010-03-09 20:00:00+00:00,2010-03-10 10:00:00+00:00,long,1902.0,1911.8667572984045,1911.8667572984045,1887.1998640523934,9.866757298404536,2010-06
2010-03-10 18:00:00+00:00,2010-03-12 06:00:00+00:00,long,1917.0,1927.83312257427,1927.83312257427,1900.750316138595,10.833122574269964,2010-06
2010-03-12 14:00:00+00:00,2010-03-15 10:00:00+00:00,long,1925.75,1910.3044810985757,1936.0470126009495,1910.3044810985757,-15.445518901424293,2010-06
2010-03-16 00:00:00+00:00,2010-03-16 10:00:00+00:00,long,1918.0,1926.7095921155887,1926.7095921155887,1904.935611826617,8.709592115588748,2010-06
2010-03-16 13:00:00+00:00,2010-03-17 09:00:00+00:00,long,1928.5,1937.3594813339096,1937.3594813339096,1915.2107779991356,8.85948133390957,2010-06
2010-03-17 20:00:00+00:00,2010-03-18 10:00:00+00:00,long,1935.5,1944.364338726831,1944.364338726831,1922.2034919097537,8.864338726830965,2010-06
2010-03-18 16:00:00+00:00,2010-03-19 10:00:00+00:00,long,1943.25,1928.7718987156863,1952.9020675228758,1928.7718987156863,-14.478101284313652,2010-06
2010-03-22 21:00:00+00:00,2010-03-23 15:00:00+00:00,long,1947.5,1955.4402226811994,1955.4402226811994,1935.5896659782009,7.94022268119943,2010-06
2010-03-29 00:00:00+00:00,2010-03-29 04:00:00+00:00,long,1956.25,1963.7035506493821,1963.7035506493821,1945.0696740259268,7.453550649382123,2010-06
2010-03-29 11:00:00+00:00,2010-03-30 09:00:00+00:00,long,1961.5,1968.3176631374429,1968.3176631374429,1951.2735052938356,6.817663137442878,2010-06
2010-04-01 09:00:00+00:00,2010-04-01 09:00:00+00:00,long,1962.75,1968.941570489032,1968.941570489032,1953.462644266452,6.191570489032074,2010-06
2010-04-04 19:00:00+00:00,2010-04-05 09:00:00+00:00,long,1964.5,1955.6285464133812,1970.4143023910792,1955.6285464133812,-8.871453586618827,2010-06
2010-04-06 01:00:00+00:00,2010-04-06 12:00:00+00:00,long,1970.5,1975.3783579364751,1975.3783579364751,1963.1824630952874,4.87835793647514,2010-06
2010-04-07 05:00:00+00:00,2010-04-07 09:00:00+00:00,long,1973.75,1978.1368619549185,1978.1368619549185,1967.1697070676223,4.386861954918459,2010-06
