Entry_Time,Side,Entry,Initial_SL,Qty,Capital_Start,Exit_Time,Exit,PnL
2010-01-28 22:30:00+00:00,BUY,1772.75,1752.8346003882618,1.0,99961.19550709092,2010-01-28 23:30:00+00:00,1769.0,-3.75
2010-01-29 04:30:00+00:00,BUY,1770.5,1751.4579069561285,1.0,99957.44550709092,2010-01-29 05:30:00+00:00,1770.5,0.0
2010-01-29 11:00:00+00:00,SELL,1757.75,1791.3515330849336,1.0,99957.44550709092,2010-02-01 20:00:00+00:00,1758.5,-0.75
2010-02-02 03:00:00+00:00,SELL,1751.25,1762.600865663882,1.0,99956.69550709092,2010-02-02 04:00:00+00:00,1753.75,-2.5
2010-02-02 05:00:00+00:00,BUY,1762.0,1748.703672037927,1.0,99954.19550709092,2010-02-02 10:00:00+00:00,1748.703672037927,-13.296327962073065
2010-02-02 10:30:00+00:00,BUY,1759.75,1737.9771552140837,1.0,99940.89917912884,2010-02-04 04:30:00+00:00,1777.5,17.75
2010-02-04 04:30:00+00:00,SELL,1778.25,1788.9008272289927,1.0,99958.64917912884,2010-02-05 15:30:00+00:00,1739.5,38.75
2010-02-05 15:30:00+00:00,SELL,1743.5,1782.2445229507475,1.0,99997.39917912884,2010-02-07 18:00:00+00:00,1747.25,-3.75
2010-02-08 07:00:00+00:00,SELL,1740.5,1756.3694622569526,1.0,99993.64917912884,2010-02-08 08:00:00+00:00,1747.25,-6.75
2010-02-08 11:30:00+00:00,BUY,1750.75,1728.4038955092444,1.0,99986.89917912884,2010-02-08 15:30:00+00:00,1739.75,-11.0
2010-02-08 15:30:00+00:00,SELL,1730.5,1754.383730137004,1.0,99975.89917912884,2010-02-09 03:00:00+00:00,1748.0,-17.5
2010-02-09 11:00:00+00:00,SELL,1738.75,1760.9507776451492,1.0,99958.39917912884,2010-02-09 12:00:00+00:00,1760.9507776451492,-22.200777645149174
2010-02-09 12:30:00+00:00,BUY,1755.75,1724.0151330966862,1.0,99936.19840148369,2010-02-10 10:30:00+00:00,1739.75,-16.0
2010-02-10 21:30:00+00:00,BUY,1751.5,1739.2838266613217,1.0,99920.19840148369,2010-02-10 22:30:00+00:00,1751.5,0.0
2010-02-11 04:30:00+00:00,SELL,1751.75,1761.2837735812536,1.0,99920.19840148369,2010-02-11 11:00:00+00:00,1761.2837735812536,-9.533773581253627
2010-02-11 23:30:00+00:00,SELL,1772.0,1783.0311571059156,1.0,99910.66462790244,2010-02-12 00:30:00+00:00,1774.5,-2.5
2010-02-12 12:00:00+00:00,BUY,1778.0,1752.8857483331026,1.0,99908.16462790244,2010-02-16 10:00:00+00:00,1785.5,7.5
2010-02-16 10:00:00+00:00,SELL,1789.75,1807.1032427207933,1.0,99915.66462790244,2010-02-16 16:00:00+00:00,1799.75,-10.0
2010-02-17 11:30:00+00:00,SELL,1799.25,1818.2263970174124,1.0,99905.66462790244,2010-02-17 12:30:00+00:00,1805.0,-5.75
2010-02-17 15:30:00+00:00,BUY,1806.0,1787.3452074925622,1.0,99899.91462790244,2010-02-18 09:00:00+00:00,1806.75,0.75
2010-02-18 09:00:00+00:00,BUY,1809.0,1795.694971743661,1.0,99900.66462790244,2010-02-18 21:30:00+00:00,1806.25,-2.75
2010-02-18 21:30:00+00:00,SELL,1802.0,1817.5048594673453,1.0,99897.91462790244,2010-02-19 07:30:00+00:00,1813.75,-11.75
2010-02-19 07:30:00+00:00,BUY,1814.75,1803.162620988436,1.0,99886.16462790244,2010-02-22 10:00:00+00:00,1817.0,2.25
2010-02-22 10:00:00+00:00,BUY,1815.25,1797.9841663097177,1.0,99888.41462790244,2010-02-22 11:00:00+00:00,1816.0,0.75
2010-02-22 21:30:00+00:00,BUY,1817.75,1807.1624408475186,1.0,99889.16462790244,2010-02-22 22:30:00+00:00,1818.25,0.5
2010-02-23 05:00:00+00:00,SELL,1819.0,1832.1733238585418,1.0,99889.66462790244,2010-02-23 06:00:00+00:00,1813.5,5.5
2010-02-23 22:00:00+00:00,BUY,1799.25,1783.9490312261603,1.0,99895.16462790244,2010-02-23 23:00:00+00:00,1802.5,3.25
2010-02-24 04:00:00+00:00,SELL,1798.25,1811.3611889027468,1.0,99898.41462790244,2010-02-24 09:30:00+00:00,1811.3611889027468,-13.11118890274679
2010-02-24 10:00:00+00:00,BUY,1804.75,1787.4130509750266,1.0,99885.30343899969,2010-02-25 09:00:00+00:00,1796.75,-8.0
2010-02-25 15:00:00+00:00,BUY,1806.5,1781.9159084787493,1.0,99877.30343899969,2010-02-26 10:00:00+00:00,1806.25,-0.25
2010-02-26 10:00:00+00:00,BUY,1816.5,1796.2416165177883,1.0,99877.05343899969,2010-02-26 11:00:00+00:00,1815.25,-1.25
2010-03-01 06:00:00+00:00,SELL,1825.0,1839.1546398318214,1.0,99875.80343899969,2010-03-01 07:00:00+00:00,1824.75,0.25
2010-03-01 09:30:00+00:00,BUY,1828.0,1811.8448385103234,1.0,99876.05343899969,2010-03-04 01:30:00+00:00,1844.75,16.75
2010-03-04 05:00:00+00:00,BUY,1851.75,1840.9192733621628,1.0,99892.80343899969,2010-03-04 11:00:00+00:00,1850.5,-1.25
2010-03-04 15:30:00+00:00,BUY,1856.0,1835.6375755521005,1.0,99891.55343899969,2010-03-15 11:00:00+00:00,1914.0,58.0
2010-03-15 11:00:00+00:00,BUY,1906.0,1883.7728210562468,1.0,99949.55343899969,2010-03-15 12:00:00+00:00,1909.0,3.0
2010-03-16 10:30:00+00:00,BUY,1927.0,1907.818221063012,1.0,99952.55343899969,2010-03-16 11:30:00+00:00,1930.75,3.75
2010-03-16 22:30:00+00:00,SELL,1928.25,1942.3612956390457,1.0,99956.30343899969,2010-03-16 23:30:00+00:00,1928.5,-0.25
2010-03-17 15:00:00+00:00,SELL,1931.75,1951.7423231686914,1.0,99956.05343899969,2010-03-17 16:00:00+00:00,1936.25,-4.5
2010-03-18 06:30:00+00:00,BUY,1932.75,1920.0867969959004,1.0,99951.55343899969,2010-03-19 10:30:00+00:00,1931.75,-1.0
2010-03-19 10:30:00+00:00,BUY,1930.0,1910.0253874347643,1.0,99950.55343899969,2010-03-19 11:30:00+00:00,1927.0,-3.0
2010-03-22 05:00:00+00:00,BUY,1923.75,1914.6887574373613,1.0,99947.55343899969,2010-03-22 06:00:00+00:00,1920.5,-3.25
2010-03-23 00:30:00+00:00,SELL,1947.25,1953.3490179532807,1.0,99944.30343899969,2010-03-23 01:30:00+00:00,1947.25,0.0
2010-03-23 04:30:00+00:00,BUY,1949.75,1943.9273100004114,1.0,99944.30343899969,2010-03-23 10:00:00+00:00,1949.0,-0.75
2010-03-23 10:30:00+00:00,SELL,1944.75,1958.4824233945408,1.0,99943.55343899969,2010-03-23 15:00:00+00:00,1958.4824233945408,-13.732423394540774
2010-03-23 15:30:00+00:00,BUY,1960.5,1942.2049635862738,1.0,99929.82101560515,2010-03-24 06:30:00+00:00,1953.25,-7.25
2010-03-24 06:30:00+00:00,SELL,1954.5,1963.5947750317025,1.0,99922.57101560515,2010-03-25 06:00:00+00:00,1958.25,-3.75
2010-03-25 14:00:00+00:00,SELL,1953.0,1972.1870698457628,1.0,99918.82101560515,2010-03-26 07:30:00+00:00,1957.75,-4.75
2010-03-26 12:00:00+00:00,SELL,1949.0,1966.2832006385556,1.0,99914.07101560515,2010-03-26 13:00:00+00:00,1944.25,4.75
2010-03-29 13:30:00+00:00,SELL,1957.25,1970.3731099486681,1.0,99918.82101560515,2010-03-29 14:30:00+00:00,1955.0,2.25
2010-03-29 23:00:00+00:00,BUY,1961.5,1954.0322802601947,1.0,99921.07101560515,2010-03-30 10:30:00+00:00,1963.0,1.5
2010-03-30 11:00:00+00:00,SELL,1955.5,1970.6254438367991,1.0,99922.57101560515,2010-03-31 12:00:00+00:00,1964.5,-9.0
2010-03-31 12:00:00+00:00,BUY,1963.5,1948.4729621364518,1.0,99913.57101560515,2010-03-31 13:00:00+00:00,1963.5,0.0
2010-03-31 15:30:00+00:00,SELL,1957.0,1973.5487326388177,1.0,99913.57101560515,2010-03-31 16:30:00+00:00,1955.75,1.25
2010-04-01 02:30:00+00:00,BUY,1962.0,1954.7075239544085,1.0,99914.82101560515,2010-04-01 06:00:00+00:00,1959.0,-3.0
2010-04-01 13:30:00+00:00,SELL,1950.5,1967.5663023767438,1.0,99911.82101560515,2010-04-02 09:00:00+00:00,1960.0,-9.5
2010-04-02 09:00:00+00:00,BUY,1961.5,1952.2225001773622,1.0,99902.32101560515,2010-04-05 09:00:00+00:00,1960.75,-0.75
2010-04-05 09:00:00+00:00,SELL,1959.5,1966.3094492920072,1.0,99901.57101560515,2010-04-05 09:30:00+00:00,1966.3094492920072,-6.80944929200723
2010-04-05 22:30:00+00:00,SELL,1970.5,1977.7725842959724,1.0,99894.76156631314,2010-04-05 23:30:00+00:00,1970.5,0.0
2010-04-06 07:30:00+00:00,BUY,1969.5,1963.601754577475,1.0,99894.76156631314,2010-04-06 10:00:00+00:00,1969.25,-0.25
2010-04-06 10:30:00+00:00,BUY,1970.5,1960.736880304408,1.0,99894.51156631314,2010-04-07 15:30:00+00:00,1969.0,-1.5
2010-04-08 02:30:00+00:00,BUY,1971.25,1964.0987811161638,1.0,99893.01156631314,2010-04-08 03:30:00+00:00,1969.5,-1.75
2010-04-08 12:00:00+00:00,BUY,1977.75,1961.98962809962,1.0,99891.26156631314,2010-04-09 10:00:00+00:00,1980.5,2.75
2010-04-09 11:30:00+00:00,BUY,1984.25,1972.6483754133162,1.0,99894.01156631314,2010-04-12 05:30:00+00:00,1995.75,11.5
2010-04-12 05:30:00+00:00,SELL,1994.25,2002.7343915061356,1.0,99905.51156631314,2010-04-12 06:30:00+00:00,1993.5,0.75
2010-04-12 13:00:00+00:00,BUY,1996.5,1984.4609120016285,1.0,99906.26156631314,2010-04-12 14:00:00+00:00,1994.75,-1.75
2010-04-12 20:00:00+00:00,SELL,1988.25,1998.1923756420526,1.0,99904.51156631314,2010-04-13 09:30:00+00:00,1998.1923756420526,-9.942375642052639
2010-04-13 10:00:00+00:00,BUY,1988.0,1976.047060174587,1.0,99894.56919067109,2010-04-15 05:00:00+00:00,2020.0,32.0
2010-04-15 05:00:00+00:00,SELL,2018.5,2025.121599704789,1.0,99926.56919067109,2010-04-15 09:00:00+00:00,2025.121599704789,-6.621599704789105
