Entry_Time,Exit_Time,Side,Entry,Exit,Contract,PnL,Equity
2010-01-14 13:00:00+00:00,2010-01-18 21:00:00+00:00,long,1884.25,1872.900388005966,2010-03,-11.349611994033921,-11.349611994033921
2010-01-19 07:00:00+00:00,2010-01-21 09:00:00+00:00,short,1861.25,1867.889055015103,2010-03,-6.63905501510294,-17.98866700913686
2010-01-21 12:00:00+00:00,2010-01-25 14:00:00+00:00,short,1843.5,1803.0619757078211,2010-03,40.43802429217885,22.44935728304199
2010-01-25 23:00:00+00:00,2010-01-28 01:00:00+00:00,short,1787.25,1805.3408514647663,2010-03,-18.090851464766274,4.358505818275717
2010-01-28 11:00:00+00:00,2010-02-03 15:00:00+00:00,short,1765.5,1785.2982970335756,2010-03,-19.798297033575636,-15.43979121529992
2010-02-03 16:00:00+00:00,2010-02-07 19:00:00+00:00,long,1789.25,1775.5790025748097,2010-03,-13.670997425190308,-29.110788640490227
2010-02-10 05:00:00+00:00,2010-02-16 02:00:00+00:00,long,1758.75,1784.5023738387822,2010-03,25.752373838782205,-3.3584148017080224
2010-02-16 03:00:00+00:00,2010-02-18 05:00:00+00:00,long,1793.0,1808.9500219148972,2010-03,15.950021914897206,12.591607113189184
2010-02-18 06:00:00+00:00,2010-02-23 10:00:00+00:00,long,1814.0,1805.0425030242395,2010-03,-8.957496975760478,3.6341101374287064
2010-02-23 11:00:00+00:00,2010-02-25 15:00:00+00:00,short,1793.5,1806.7573556402676,2010-03,-13.257355640267633,-9.623245502838927
2010-02-25 16:00:00+00:00,2010-03-01 22:00:00+00:00,long,1812.0,1845.288004529155,2010-03,33.28800452915493,23.664759026316005
2010-03-01 23:00:00+00:00,2010-03-05 07:00:00+00:00,long,1846.0,1866.389358042965,2010-06,20.389358042964886,44.05411706928089
2010-03-05 08:00:00+00:00,2010-03-09 10:00:00+00:00,long,1870.5,1891.712897477511,2010-06,21.212897477510978,65.26701454679187
2010-03-09 11:00:00+00:00,2010-03-12 06:00:00+00:00,long,1902.25,1927.8097424046705,2010-06,25.559742404670487,90.82675695146236
2010-03-12 07:00:00+00:00,2010-03-17 13:00:00+00:00,long,1923.75,1945.3199349539686,2010-06,21.56993495396864,112.396691905431
2010-03-17 14:00:00+00:00,2010-03-22 04:00:00+00:00,long,1931.5,1919.2152609753352,2010-06,-12.28473902466476,100.11195288076624
2010-03-22 07:00:00+00:00,2010-03-24 09:00:00+00:00,short,1920.5,1929.038185083585,2010-06,-8.538185083584949,91.57376779718129
2010-03-25 05:00:00+00:00,2010-03-30 09:00:00+00:00,long,1958.25,1971.2355238913738,2010-06,12.98552389137376,104.55929168855505
2010-03-30 10:00:00+00:00,2010-04-01 13:00:00+00:00,long,1963.0,1954.43224723252,2010-06,-8.567752767479988,95.99153892107506
2010-04-04 18:00:00+00:00,2010-04-07 09:00:00+00:00,long,1964.25,1979.7086188015028,2010-06,15.45861880150278,111.45015772257784
2010-04-07 11:00:00+00:00,2010-04-11 18:00:00+00:00,long,1980.0,1995.1276517537976,2010-06,15.127651753797636,126.57780947637548
2010-04-11 19:00:00+00:00,2010-04-14 12:00:00+00:00,long,2001.0,2018.7551362246381,2010-06,17.755136224638136,144.3329457010136
2010-04-14 13:00:00+00:00,2010-04-16 15:00:00+00:00,long,2017.5,2009.2277638024516,2010-06,-8.272236197548409,136.0607095034652
2010-04-19 12:00:00+00:00,2010-04-21 14:00:00+00:00,short,1992.25,2006.2439571627497,2010-06,-13.993957162749666,122.06675234071554
2010-04-22 14:00:00+00:00,2010-04-27 11:00:00+00:00,long,2034.25,2018.8281110864589,2010-06,-15.421888913541125,106.64486342717441
2010-04-27 12:00:00+00:00,2010-04-29 14:00:00+00:00,short,2012.25,2026.7494184330997,2010-06,-14.499418433099663,92.14544499407475
2010-04-29 15:00:00+00:00,2010-05-03 18:00:00+00:00,long,2039.75,2024.9220302885235,2010-06,-14.827969711476499,77.31747528259825
2010-05-03 20:00:00+00:00,2010-05-05 22:00:00+00:00,long,2027.75,2015.5365259991734,2010-06,-12.213474000826636,65.10400128177162
2010-05-06 15:00:00+00:00,2010-05-11 11:00:00+00:00,short,1891.0,1944.2697285796214,2010-06,-53.269728579621415,11.834272702150201
2010-05-12 09:00:00+00:00,2010-05-14 11:00:00+00:00,long,1959.25,1938.6287849315495,2010-06,-20.62121506845051,-8.786942366300309
